,index,token_idx,token
165,15,9,quyền
166,15,10,nên
167,15,11,làm
168,15,12,j
169,15,13,chả
170,15,14,được
171,15,15,:v
172,16,0,Loại
173,16,1,này
174,16,2,cho
175,16,3,dựa
176,16,4,cột
177,16,5,thôi
178,16,6,chứ
179,16,7,độ thế nào
180,17,0,Thuong
181,17,1,wa
182,17,2,di
183,18,0,Dạy
184,18,1,bơi
185,18,2,cho
186,18,3,cá
187,18,4,Bơi
188,18,5,thì
189,18,6,đương nhiên
190,18,7,nó
191,18,8,bơi
192,18,9,được
193,18,10,vì
194,18,11,nó
195,18,12,là
196,18,13,cá
197,18,14,Làm sao
198,18,15,cho
199,18,16,nó
200,18,17,sống
201,18,18,được
202,18,19,mới
203,18,20,là
204,18,21,điều
205,18,22,người dân
206,18,23,đang
207,18,24,quan tâm
208,18,25,.
209,19,0,Ủa
210,19,1,chứ
211,19,2,bữa
212,19,3,xin lỗi
213,19,4,khóc
214,19,5,tế
215,19,6,om
216,19,7,xòm
217,19,8,mà
218,19,9,giờ
219,19,10,chửi
220,19,11,nữa
221,19,12,rồi
222,19,13,bó tay
223,19,14,con
224,19,15,này
225,19,16,hỗn
226,19,17,quá
227,20,0,Bamtp
228,20,1,chạy
229,20,2,ngay
230,20,3,ddi
231,20,4,:))
232,21,0,Cứ
233,21,1,đăng
234,21,2,cái
235,21,3,ảnh
236,21,4,2
237,21,5,bố con
238,21,6,là
239,21,7,y như rằng
240,21,8,bị
241,21,9,đổi
242,22,0,Dàn Táo
243,22,1,năm
244,22,2,nay
245,22,3,làm
246,22,4,chương trình
247,22,5,TÁO QUÂN
248,22,6,VI HÀNH
249,22,7,nhé
250,22,8,mn
251,22,9,","
252,22,10,phát sóng
253,22,11,9h
254,22,12,tối
255,22,13,23
256,22,14,Tết
257,22,15,trên
258,22,16,VTV3
259,22,17,:))
260,23,0,Thật
261,23,1,chán
262,23,2,với
263,23,3,chế độ
264,23,4,quản lý
265,23,5,dân sinh
266,24,0,Đời
267,24,1,vô thường
268,24,2,lắm
269,24,3,..
270,24,4,sống
271,24,5,phải
272,24,6,tu
273,24,7,tâm
274,24,8,tích
275,24,9,đức
276,24,10,cô
277,24,11,oi
278,24,12,..
279,24,13,khẩu
280,24,14,nghiệp
281,24,15,quá
282,24,16,cô
283,24,17,ơi
284,25,0,có
285,25,1,ai
286,25,2,biết
287,25,3,làm
288,25,4,cách
289,25,5,nào
290,25,6,để
291,25,7,tìm
292,25,8,lại
293,25,9,được
294,25,10,","
295,25,11,đồng đội
296,25,12,","
297,25,13,đồng chí
298,25,14,","
299,25,15,hay
300,25,16,bạn hữu
301,25,17,cùng
302,25,18,đơn vị
303,25,19,của
304,25,20,người
305,25,21,trong
306,25,22,bức
307,25,23,ảnh
308,25,24,không
309,25,25,.
310,26,0,Sống
311,26,1,chậm
312,26,2,lại
313,26,3,các
314,26,4,mày
315,26,5,?
316,27,0,Chương trình
317,27,1,quảng cáo
318,27,2,xin
319,27,3,đc
320,27,4,bắt đầu
321,28,0,@username
322,28,1,đớp
323,28,2,cả
324,28,3,của
325,28,4,cháu
326,28,5,Thứ
327,28,6,mắc
328,28,7,dạy
329,29,0,Nhậu
330,29,1,cái
331,29,2,đm
332,29,3,chúng mày
333,29,4,lũ
334,29,5,chó
335,29,6,hại
336,29,7,dân
337,29,8,hại
338,29,9,nước
339,30,0,@username
340,30,1,tối cao
341,31,0,mài
342,31,1,có
343,31,2,óc
344,31,3,để
345,31,4,suy nghĩ
346,31,5,ko
347,31,6,add
348,31,7,?
349,31,8,cái
350,31,9,đồng
351,31,10,băng
352,31,11,đó
353,31,12,mài
354,31,13,tính
355,31,14,đào
356,31,15,hồ
357,31,16,bnhiu
358,31,17,cho
359,31,18,đủ
360,31,19,hả
361,31,20,thằng
362,31,21,ngu
363,31,22,?
364,32,0,chuẩn
365,33,0,Chỉ
366,33,1,3
367,33,2,vàng
368,33,3,ngọc
369,33,4,như
370,33,5,con
371,33,6,heo
372,33,7,nọc
373,33,8,nhà
374,33,9,e
375,34,0,phải
376,34,1,thầy
377,34,2,k
378,34,3,ta
379,35,0,Cảnh sát
380,35,1,chính tả
381,35,2,comingg
382,35,3,nè
383,35,4,:))
384,36,0,Xuân
385,36,1,đương
386,36,2,tới
387,36,3,nghĩa là
388,36,4,xuân
389,36,5,đương
390,36,6,qua
391,37,0,Nhìn
392,37,1,chúng nó
393,37,2,cmt
394,37,3,mà
395,37,4,đắng
396,37,5,bạn
397,37,6,à
398,37,7,=)))))))
399,38,0,Ý thức
400,38,1,còn
401,38,2,ít
402,38,3,hơn
403,38,4,cả
404,38,5,số
405,38,6,tiền
406,38,7,trong
407,38,8,túi
408,38,9,t
409,39,0,Em
410,39,1,yêu
411,39,2,anh
412,39,3,từ
413,39,4,thuở
414,39,5,tóc
415,39,6,dài
416,40,0,theo
417,40,1,chân
418,40,2,mấy
419,40,3,anh
420,40,4,hàn quốc
421,40,5,rồi
422,40,6,:
423,41,0,Lương
424,41,1,tháng
425,41,2,7
426,41,3,","
427,41,4,8
428,41,5,củ
429,41,6,thui
430,41,7,ak
431,41,8,con
432,41,9,trai
433,41,10,","
434,41,11,nhưng
435,41,12,bố
436,41,13,vẫn
437,41,14,ăn
438,41,15,tạm
439,41,16,cua
440,41,17,hoàng đế
441,41,18,để
442,41,19,sống
443,41,20,wa
444,41,21,ngày
445,41,22,thôi
446,41,23,con
447,41,24,trai
448,41,25,ak
449,42,0,Mệt
450,42,1,quá
451,42,2,thầy
452,42,3,ạ
453,42,4,
454,43,0,@username
455,43,1,@username
456,43,2,còn
457,43,3,j
458,43,4,vui
459,43,5,hơn
460,43,6,cà khịa
461,43,7,:))))))
462,44,0,chị
463,44,1,Hôm nay
464,44,2,đẹp
465,44,3,quá
466,45,0,Xem
467,45,1,r
468,45,2,nè
469,46,0,@username
470,46,1,nghèo
471,46,2,là
472,46,3,rõ
473,46,4,臘
474,47,0,xxx
475,47,1,video
476,47,2,
477,48,0,thầy
478,48,1,đéo
479,48,2,xoá
480,48,3,kênh
481,48,4,kêu gọi
482,48,5,học trò
483,48,6,report
484,48,7,cho
485,48,8,bay
486,48,9,kênh
487,48,10,thiệt
488,48,11,luôn
489,48,12,:))
490,49,0,Anh
491,49,1,ba
492,49,2,láo nháo
493,49,3,là
494,49,4,Tú
495,49,5,xiên
496,49,6,giờ
497,50,0,Người
498,50,1,ta
499,50,2,bị
500,50,3,lường gạt
501,50,4,1tỷ
502,50,5,mấy
503,50,6,còn
504,50,7,êm ru
505,50,8,mà
506,50,9,đằng
507,50,10,này
508,50,11,hơn
509,50,12,trăm
510,50,13,triệu
511,50,14,thôi
512,50,15,mà
513,50,16,la
514,50,17,um
515,50,18,xùm hà
516,51,0,Tú
517,51,1,thích
518,51,2,hoa hồng
519,51,3,và
520,51,4,mùa
521,51,5,đông
522,51,6,được
523,51,7,@username
524,51,8,đâm
525,51,9,phía
526,51,10,sau
527,51,11,mông
528,52,0,mẹ
529,52,1,","
530,52,2,sao
531,52,3,bộ
532,52,4,k
533,52,5,mở
534,52,6,cửa hàng
535,52,7,kinh doanh
536,52,8,bán
537,52,9,bình
538,52,10,luôn
539,52,11,cho
540,52,12,dân
541,52,13,","
542,52,14,ko
543,52,15,lại
544,52,16,phạt
545,52,17,vì
546,52,18,mua
547,52,19,phải
548,52,20,bình
549,52,21,đểu
550,52,22,:)))
551,53,0,Cuối cùng
552,53,1,anh
553,53,2,đã
554,53,3,trở lại
555,53,4,.
556,54,0,Em
557,54,1,tưởng
558,54,2,anh
559,54,3,biến
560,54,4,mất
561,54,5,luôn
562,54,6,cho
563,54,7,em
564,54,8,mừng
565,54,9,
566,54,10,thiệt
567,54,11,là
568,54,12,tình
569,54,13,(
570,54,14,nội dung
571,54,15,mang
572,54,16,tính
573,54,17,giải trí
574,54,18,.
575,55,0,Ko
576,55,1,có
577,55,2,ý
578,55,3,anti
579,55,4,hay
580,55,5,ghét
581,55,6,ai
582,55,7,)
583,56,0,Chi
584,56,1,3
585,56,2,cai
586,56,3,gi
587,56,4,cung
588,56,5,co
589,56,6,nhung
590,56,7,cai
591,56,8,lờ
592,56,9,la
593,56,10,chi
594,56,11,3
595,56,12,hét
596,56,13,kiếp
597,56,14,nay
598,56,15,cung
599,56,16,k
600,56,17,bao
601,56,18,gio
602,56,19,co
603,56,20,.
604,57,0,Vừa
605,57,1,tăng
606,57,2,lương
607,57,3,phát
608,57,4,biết
609,57,5,ngay
610,58,0,Ai
611,58,1,là
612,58,2,cảm tình
613,58,3,diên
614,58,4,like
615,59,0,Xin
616,59,1,tộc trưởng
617,59,2,hãy
618,59,3,cho
619,59,4,@username
620,59,5,lợn
621,59,6,thần
622,59,7,ra
623,59,8,trận
624,59,9,!
625,59,10,Đảm bảo
626,59,11,sẽ
627,59,12,có
628,59,13,chiến thắng
629,60,0,Đấu khẩu
630,60,1,-
631,60,2,Chim lợn
632,60,3,
633,61,0,Cai
634,61,1,miệng
635,61,2,nói
636,61,3,không
637,61,4,sợ
638,61,5,bị
639,61,6,hậu quả
640,62,0,4
641,62,1,năm
642,62,2,rồi
643,62,3,à
644,63,0,Đầu
645,63,1,2
646,63,2,thứ
647,63,3,tóc
648,63,4,rồi
649,63,5,mà còn
650,63,6,bị
651,63,7,trẻ
652,63,8,trâu
653,63,9,@username
654,63,10,lừa
655,63,11,藍
656,64,0,Nguoi
657,64,1,mien
658,64,2,trung
659,64,3,nhu
660,64,4,e
661,64,5,chi
662,64,6,ngoi
663,64,7,xem
664,64,8,cac
665,64,9,bac
666,64,10,chui
667,64,11,nhau
668,64,12,thoi
669,64,13,:))
670,65,0,@username
671,65,1,phục
672,65,2,cái
673,65,3,máu
674,65,4,lồn
675,66,0,Quan
676,66,1,va
677,66,2,Dan
678,66,3,nhu
679,66,4,nhau
680,66,5,phai
681,66,6,ton
682,66,7,trong
683,66,8,phap
684,66,9,luat
685,66,10,Khong
686,66,11,thuen
687,66,12,vi
688,66,13,mot
689,66,14,ai
690,66,15,?
691,67,0,Chúc
692,67,1,abe
693,67,2,20-10
694,67,3,vui vẻ
695,68,0,ko
696,68,1,vào
697,68,2,thì
698,68,3,lấy
699,68,4,đâu
700,68,5,ra
701,68,6,vốn
702,68,7,vay
703,68,8,FDI
704,68,9,cho
705,68,10,các
706,68,11,anh
707,68,12,đút túi
708,68,13,?
709,69,0,Việc
710,69,1,nhẹ
711,69,2,lương
712,69,3,cao
713,69,4,mình
714,69,5,xin
715,69,6,nhường
716,69,7,cho
717,69,8,những
718,69,9,người
719,69,10,thất nghiệp
720,69,11,:))
721,70,0,B52
722,70,1,If
723,70,2,J97
724,71,0,Chào
725,71,1,người
726,71,2,anh em
727,72,0,@username
728,72,1,nghiệp
729,72,2,nó
730,72,3,quật
731,72,4,m
732,72,5,chết
733,72,6,bh
734,73,0,@username
735,73,1,bên
736,73,2,nó
737,73,3,ai
738,73,4,bị
739,73,5,hoặc
740,73,6,nghi
741,73,7,bị
742,73,8,thì
743,73,9,tự
744,73,10,cách ly
745,73,11,tự
746,73,12,điểu
747,73,13,trị
748,73,14,nhé
749,73,15,","
750,73,16,nó
751,73,17,còn
752,73,18,không
753,73,19,cho
754,73,20,xét nghiệm
755,73,21,cơ
756,73,22,","
757,73,23,chỉ
758,73,24,khi
759,73,25,nào
760,73,26,bạn
761,73,27,chết
762,73,28,thì
763,73,29,nó
764,73,30,mới
765,73,31,khám nghiệm
766,73,32,để
767,73,33,kết luận
768,73,34,có
769,73,35,do
770,73,36,virus
771,73,37,hay
772,73,38,không
773,73,39,","
774,73,40,ở
775,73,41,ngoài
776,73,42,đường
777,73,43,mà
778,73,44,đeo
779,73,45,khẩu trang
780,73,46,bọn
781,73,47,Anh
782,73,48,nó
783,73,49,còn
784,73,50,đấm
785,73,51,vào
786,73,52,mặt
787,73,53,cho
788,73,54,chứ
789,73,55,ở
790,73,56,đó
791,73,57,mà
792,73,58,điều trị
793,74,0,9x5
794,74,1,=
795,74,2,55
796,74,3,chứ
797,74,4,ôg
798,74,5,a
799,74,6,già
800,74,7,
801,75,0,@username
802,75,1,ko
803,75,2,mvp
804,75,3,đội
805,75,4,mình
806,75,5,thì
807,75,6,là
808,75,7,mvp
809,75,8,của
810,75,9,đội
811,75,10,bạn
812,75,11,:)))
813,76,0,Xin
814,76,1,video
815,76,2,với
816,76,3,bro
817,76,4,
818,77,0,Bị
819,77,1,gì
820,77,2,bị
821,77,3,lắm
822,77,4,thế
823,78,0,Du học sinh
824,78,1,Úc
825,78,2,cơ
826,78,3,ấy
827,78,4,=))
828,79,0,Ôi
829,79,1,vãi
830,79,2,a
831,79,3,quang
832,79,4,:v
833,80,0,Chờ đợi
834,80,1,17
835,80,2,nồi
836,80,3,bánh chưng
837,80,4,mới
838,80,5,đc
839,80,6,fan
840,80,7,cứng
841,80,8,nên
842,80,9,cmt
843,80,10,cho
844,80,11,kh
845,80,12,mất
846,80,13,chứ
847,80,14,ko
848,80,15,biết
849,80,16,chơi
850,80,17,GA
851,81,0,Khá
852,81,1,@username
853,82,0,Giúp
854,82,1,e
855,82,2,làm đẹp
856,82,3,với
857,82,4,E
858,82,5,ko
859,82,6,có
860,82,7,điều kiện
861,82,8,Ko
862,82,9,có
863,82,10,khả
864,82,11,năg
865,82,12,nhưg
866,82,13,thấy
867,82,14,có
868,82,15,người
869,82,16,đẹp
870,82,17,e
871,82,18,rất
872,82,19,thích
873,83,0,@username
874,83,1,xuất sắc
875,83,2,...
876,83,3,nhưng
877,83,4,em
878,83,5,lại
879,83,6,làm
880,83,7,mấy
881,83,8,bạn
882,83,9,kia
883,83,10,buồn
884,83,11,thêm
885,83,12,藍 藍 藍
886,84,0,Hoan nghênh
887,84,1,ông
888,84,2,@username
889,84,3,có
890,84,4,tư tưởng
891,84,5,tiến bộ
892,84,6,","
893,84,7,không
894,84,8,chống cộng sản Việt Nam
895,84,9,nữa
896,84,10,.
897,85,0,Chỉ
898,85,1,có
899,85,2,quên
900,85,3,đi
901,85,4,quá khứ
902,85,5,để
903,85,6,yêu thương
904,85,7,.
905,86,0,Ai
906,86,1,cũng
907,86,2,về
908,86,3,già
909,86,4,lo
910,86,5,tu thân
911,86,6,sám hối
912,86,7,là
913,86,8,điều
914,86,9,lựa chọn
915,86,10,tốt
916,86,11,nhất
917,86,12,.
918,87,0,Chúc
919,87,1,ông
920,87,2,@username
921,87,3,sống
922,87,4,lâu
923,87,5,130
924,87,6,tuổi
925,87,7,và
926,87,8,luôn
927,87,9,khoẻ mạnh
928,87,10,đẹp lão
929,87,11,.
930,88,0,Mấy
931,88,1,thằng
932,88,2,già
933,88,3,làm
934,88,4,bộ trưởng
935,88,5,này nọ
936,88,6,mà
937,88,7,đầu óc
938,88,8,thua
939,88,9,cả
940,88,10,1
941,88,11,bác
942,88,12,nông dân
943,89,0,@username
944,89,1,huyền thoại
945,89,2,:((
946,90,0,Sương mù
947,90,1,là
948,90,2,tại
949,90,3,thiên tai
950,90,4,!
951,91,0,Mình
952,91,1,không
953,91,2,quan tâm
954,91,3,cô đơn
955,91,4,cho
956,91,5,lắm
957,92,0,Thế
958,92,1,e
959,92,2,thích
960,92,3,làm
961,92,4,phù thuỷ
962,92,5,r
963,92,6,bạn
964,92,7,nam
965,92,8,phải
966,92,9,làm
967,92,10,s
968,92,11,đây
969,92,12,a
970,92,13,nhỉ
971,92,14,
972,93,0,Uầy
973,93,1,tôi
974,93,2,là
975,93,3,cưng
976,93,4,phán
977,93,5,các
978,93,6,ông
979,93,7,ạ
980,93,8,được
981,93,9,vl
982,93,10,a
983,93,11,ưi
984,93,12,=)))
985,94,0,@username
986,95,0,ảnh
987,95,1,này
988,95,2,ở
989,95,3,video
990,95,4,Superheroo
991,95,5,nghe
992,95,6,buồn
993,95,7,não
994,95,8,ruột
995,95,9,-  -
996,96,0,anh
997,96,1,tik
998,96,2,nói
999,96,3,quá
1000,96,4,đúng
1001,96,5,luôn
1002,97,0,@username
1003,97,1,:))
1004,98,0,Ở
1005,98,1,đây
1006,98,2,ai
1007,98,3,là
1008,98,4,chủ
1009,98,5,???
1010,99,0,Minh mẫn
1011,99,1,vcl
1012,100,0,Chú
1013,100,1,Bòn
1014,100,2,em
1015,100,3,chặt
1016,100,4,chứ
1017,100,5,ko
1018,100,6,ăn
1019,100,7,nha
1020,100,8,=)))))))
1021,101,0,Cực kì
1022,101,1,thuyế
1023,101,2,...
1024,101,3,hác
1025,101,4,xì
1026,101,5,....
1027,101,6,á
1028,101,7,chết
1029,101,8,mẹ
1030,101,9,..
1031,102,0,@username
1032,102,1,tôi
1033,102,2,toàn
1034,102,3,nghe
1035,102,4,nhạc
1036,102,5,của
1037,102,6,@username
1038,102,7,!
1039,102,8,@username
1040,102,9,!
1041,102,10,Nghe
1042,102,11,mấy
1043,102,12,bài
1044,102,13,này
1045,102,14,ko
1046,102,15,thấm
1047,102,16,nổi
1048,103,0,@username
1049,103,1,người
1050,103,2,ta
1051,103,3,nói
1052,103,4,bạn
1053,103,5,đợi
1054,103,6,nhưng
1055,103,7,bạn
1056,103,8,có
1057,103,9,biết
1058,103,10,bạn
1059,103,11,đang
1060,103,12,đợi
1061,103,13,cái
1062,103,14,lone
1063,103,15,gì
1064,103,16,không
1065,103,17,Hay là
1066,103,18,đợi
1067,103,19,thiệp
1068,103,20,hồng
1069,104,0,Có anh
1070,104,1,@username
1071,104,2,","
1072,104,3,Tết
1073,104,4,lúc nào
1074,104,5,chả
1075,104,6,vui
1076,105,0,Nghe nói
1077,105,1,trước đây
1078,105,2,1
1079,105,3,số thành
1080,105,4,phần
1081,105,5,người
1082,105,6,hà nội
1083,105,7,kì thị
1084,105,8,dân
1085,105,9,vĩnh phúc
1086,105,10,đúng
1087,105,11,không
1088,105,12,nhỉ
1089,105,13,.
1090,106,0,Bh
1091,106,1,sao
1092,106,2,thì
1093,106,3,mấy
1094,106,4,ngừoi
1095,106,5,đó
1096,106,6,bị
1097,106,7,lây
1098,106,8,hết
1099,106,9,chưa
1100,106,10,ấy
1101,106,11,nhể
1102,107,0,@username
1103,107,1,=))
1104,108,0,@username
1105,108,1,thua
1106,108,2,tại
1107,108,3,dốt
1108,108,4,av
1109,108,5,qa
1110,108,6,:v
1111,109,0,
1112,110,0,Dần dần
1113,110,1,thấy
1114,110,2,jack
1115,110,3,mất
1116,110,4,hay
1117,111,0,Dì
1118,111,1,3
1119,111,2,ê
1120,111,3,dì
1121,111,4,3
1122,111,5, 
1123,111,6,là
1124,111,7,trai
1125,111,8,hay
1126,111,9,gái
1127,111,10,ạ
1128,112,0,Vợ
1129,112,1,Cuốc
1130,112,2,sư
1131,112,3,là
1132,112,4,@username
1133,112,5,còn
1134,112,6,vợ nhỏ
1135,112,7,là
1136,112,8,lisa
1137,112,9,phạm
1138,113,0,Trước
1139,113,1,khi
1140,113,2,cắm
1141,113,3,lên
1142,113,4,đầu
1143,113,5,em
1144,113,6,4
1145,113,7,cái
1146,113,8,sừng
1147,113,9,nó
1148,113,10,cũng
1149,113,11,bảo
1150,113,12,y như
1151,113,13,thế
1152,113,14,:((((
1153,114,0,éo
1154,114,1,nha
1155,114,2,liu
1156,114,3,liu
1157,115,0,#NAME
1158,115,1,?
1159,116,0,Cận
1160,116,1,thận
1161,116,2,nhà
1162,116,3,ae
1163,117,0,Idol
1164,118,0,@username
1165,118,1,ghê
1166,118,2,tr
1167,118,3,nay
1168,118,4,văn chương
1169,118,5,dữ
1170,118,6,hén
1171,119,0,xin
1172,119,1,ạ
1173,120,0,@username
1174,121,0,@username
1175,122,0,có
1176,122,1,một
1177,122,2,sự
1178,122,3,tồn tại
1179,122,4,của
1180,122,5,đàn
1181,122,6,bò
1182,122,7,mang
1183,122,8,tên
1184,122,9,""""
1185,122,10,cực kỳ
1186,122,11,thuyết phục
1187,122,12,""""
1188,122,13,","
1189,122,14,có
1190,122,15,sở thích
1191,122,16,là
1192,122,17,nhai
1193,122,18,đi
1194,122,19,nhai lại
1195,122,20,","
1196,122,21,mục đích
1197,122,22,của
1198,122,23,chúng
1199,122,24,trên
1200,122,25,hành tinh
1201,122,26,này
1202,122,27,vẫn
1203,122,28,chưa
1204,122,29,có
1205,122,30,lời
1206,122,31,giải đáp
1207,122,32,","
1208,122,33,theo
1209,122,34,như
1210,122,35,các
1211,122,36,nhà
1212,122,37,động vật học
1213,122,38,cho
1214,122,39,biết
1215,122,40,loài
1216,122,41,bò
1217,122,42,này
1218,122,43,có
1219,122,44,lối
1220,122,45,sống
1221,122,46,hoang dâm
1222,122,47,truỵ lạc
1223,122,48,","
1224,122,49,có thể
1225,122,50,động dục
1226,122,51,bất cứ
1227,122,52,lúc nào
1228,122,53,","
1229,122,54,con số
1230,122,55,của
1231,122,56,loài
1232,122,57,này
1233,122,58,đang
1234,122,59,được
1235,122,60,gia tăng
1236,122,61,đáng kể
1237,122,62,.
1238,123,0,Ck4mk4m
1239,123,1,là
1240,123,2,gì
1241,123,3,á
1242,123,4,mn
1243,124,0,Cho
1244,124,1,toyy
1245,124,2,xin
1246,124,3,in4
1247,124,4,FB
1248,124,5,hoặc
1249,124,6,sđt
1250,124,7,zalo
1251,124,8,hay
1252,124,9,ig
1253,124,10,được
1254,124,11,hong
1255,124,12,:33
1256,125,0,Chị
1257,125,1,chữi
1258,125,2,là
1259,125,3,chị
1260,125,4,cứu nhân độ thế
1261,125,5,藍 藍
1262,126,0,Nghi vấn
1263,126,1,thầy
1264,126,2,chà
1265,126,3,trộn
1266,126,4,TTBL
1267,126,5,tu
1268,127,0,@username
1269,127,1,clm
1270,127,2,đến
1271,127,3,v
1272,127,4,thì
1273,127,5,/
1274,127,6,ff
1275,128,0,Dao
1276,128,1,chặt
1277,128,2,không
1278,128,3,đứt
1279,128,4,kkkkk
1280,128,5,藍 藍 藍 藍
1281,128,6,藍 藍
1282,129,0,@username
1283,129,1,cái
1284,129,2,giọng điệu
1285,129,3,nói
1286,129,4,cảm thấy
1287,129,5,hao hao
1288,129,6,giống
1289,129,7,..!
1290,130,0,Nhanh
1291,130,1,thực sự
1292,131,0,@username
1293,131,1,máy bay
1294,131,2,phalcon
1295,131,3,10
1296,131,4,tỷ
1297,131,5,belike
1298,131,6,:
1299,132,0,So Pre Tài Trợ
1300,132,1,Độ Tây Ngày Hôm
1301,132,2,Ngày
1302,132,3,=))
1303,133,0,Nghe
1304,133,1,kể
1305,133,2,chuyện
1306,133,3,tí
1307,133,4,rồi
1308,133,5,làm
1309,133,6,tiếp
1310,133,7,a
1311,133,8,@username
1312,133,9,:)))
1313,134,0,@username
1314,134,1,từ
1315,134,2,tư
1316,134,3,
1317,135,0,Dep
1318,135,1,trai
1319,135,2,moi
1320,135,3,co
1321,135,4,nhieu
1322,135,5,dua
1323,135,6,yeu
1324,136,0,Bt
1325,136,1,các
1326,136,2,bạn
1327,136,3,phan
1328,136,4,cuồng
1329,136,5,chửi
1330,136,6,vậy
1331,136,7,mik
1332,136,8,đã
1333,136,9,ko
1334,136,10,nêu
1335,136,11,ra
1336,136,12,ý kiến
1337,136,13,cá nhân
1338,137,0,thêm
1339,137,1,một
1340,137,2,người
1341,137,3,bị
1342,137,4,cộng sản
1343,137,5,nhồi sọ
1344,137,6,không
1345,137,7,biết
1346,137,8,sao
1347,137,9,có thể
1348,137,10,nạo
1349,137,11,ra
1350,137,12,được
1351,137,13,hết
1352,137,14,chất
1353,137,15,bã
1354,137,16,trong
1355,137,17,đầu
1356,138,0,Nghe
1357,138,1,giọng
1358,138,2,nứkg
1359,138,3,quá
1360,138,4,@username
1361,138,5,:))
1362,139,0,ông
1363,139,1,làm
1364,139,2,bố
1365,139,3,tôi
1366,139,4,hơi
1367,139,5,lâu
1368,139,6,rồi
1369,139,7,đấy
1370,139,8,'
1371,139,9,@username
1372,139,10,said
1373,140,0,Vì
1374,140,1,refund
1375,140,2,top
1376,140,3,1
1377,140,4,nên
1378,140,5,tối
1379,140,6,nay
1380,140,7,mình
1381,140,8,xin
1382,140,9,phép
1383,140,10,ea
1384,140,11,..
1385,140,12,blabla
1386,141,0,@username
1387,141,1,
1388,142,0,Có
1389,142,1,khả năng
1390,142,2,tối
1391,142,3,nay
1392,142,4,anh
1393,142,5,bị
1394,142,6,ngủ
1395,142,7,ngoài
1396,142,8,đường
1397,142,9,:))
1398,142,10,tu
1399,142,11,bi
1400,142,12,con
1401,142,13,tờ
1402,142,14,niu
1403,143,0,Bùn
1404,143,1,nhở
1405,144,0,Pháo thủ
1406,144,1,toang
1407,144,2,cmnl
1408,144,3,@
1409,144,4,@
1410,145,0,Bóng
1411,145,1,khùng
