sent_idx,source_tokens,prediction_tokens,tag
13,['@username'],['@username'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T']"
14,"['toàn', 'tin', 'vớ vẩn', '...']","['toàn', 'tin', 'vớ vẩn', '...']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O']"
14,"['khi', 'nào', 'việt nam', 'sát', 'nhấp', 'với', 'trung quốc', 'thì', 'cả', 'cái', 'dna', 'này', 'xách', 'dép', 'cho', 'chúng ta', 'hết', '..']","['khi', 'nào', 'việt nam', 'sát', 'nhấp', 'với', 'trung quốc', 'thì', 'cả', 'cái', 'd<space>', 'này', 'xách', 'dép', 'cho', 'chúng ta', 'hết', '..']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O']"
14,"['hãy', 'tin', 'vào', 'sự', 'lãnh đạo', 'tài tình', 'của', 'đảng', 'và', 'bộ máy', 'nhà nước', '...']","['hãy', 'tin', 'vào', 'sự', 'lãnh đạo', 'tài tình', 'của', 'đẳng', 'và', 'bộ máy', 'nhà nước', '...']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O']"
14,"[':3', '<unk>']","[':3', '<unk>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O']"
15,"['ủa', 'bê', 'đê', 'có', 'lol', 'hả', 'ta', '<unk>', '<unk>', '<unk>', '<unk>']","['ủa', 'bê', 'đê', 'có', 'lol', 'hả', 'ta', '<unk>', '<unk>', '<unk>', '<unk>']","['O', 'B-T', 'I-T', 'O', 'B-T', 'O', 'O', 'O']"
16,"['kéo', 'chuột', 'vãi', 'lồn', 'luôn', ',', 'nó', 'yếu', 'lắm', 'rồi', ':d']","['kéo', 'chuột', 'vãi', 'lồn', 'luôn', ',', 'nó', 'yếu', 'lắm', 'rồi', ':d']","['O', 'O', 'B-T', 'I-T', 'O', 'B-T', 'O', 'O', 'O', 'O']"
17,"['mỗi', 'lần', 'lên', 'sóng', 'là', 'đeo', 'vàng', 'làm', 'như', 'giàu', 'lắm', 'hay', 'sao', 'mà', 'khoe', 'của', 'thấy', 'ghê', '.']","['mỗi', 'lần', 'lên', 'sóng', 'là', 'đeo', 'vàng', 'làm', 'như', 'giàu', 'lắm', 'hay', 'sao', 'mà', 'kho<space>', 'của', 'thấy', 'ghê', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O']"
17,"['còn', 'cái', 'mặt', 'mình', 'nhìn chung', 'ko', 'có', '1', 'chỗ', 'nào', 'thiện cảm', 'hết', '.']","['còn', 'cái', 'mặt', 'mình', 'nhìn chung', 'không', 'có', '1', 'chỗ', 'nào', 'thiện cảm', 'hết', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O']"
17,"['nhìn', 'mặt', 'là', 'biết', 'cái', 'thứ', 'đàn bà', 'độc mồm độc miệng', '.']","['nhìn', 'mặt', 'là', 'biết', 'cái', 'thứ', 'đàn bà', 'độc mồm độc miệng', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O']"
17,"['hung dữ', '.']","['hung dữ', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O']"
17,"['nói tục', 'chửi', 'thề', 'v', '...']","['nói tục', 'chửi', 'thề', 'vậy', '...']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O']"
17,"['v', 'tưởng', 'z', 'là', 'hay', 'lắm']","['vậy', 'tưởng', 'vậy', 'là', 'hay', 'lắm']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O']"
18,"['làm', 'thêm', 'chục', 'củ', 'mở', 'hòm', 'csgo', 'anh', 'êi', ':v']","['làm', 'thêm', 'chục', 'củ', 'mở', 'hòm', 'cuộcgo', 'anh', 'ơi<space>', ':v']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
19,"['hãnh diện', 'về', 'ng', 'thầy', 'có', 'tâm', 'nhất', 'của', 'năm', '.']","['hãnh diện', 'về', 'người', 'thầy', 'có', 'tâm', 'nhất', 'của', 'năm', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20,"['vòng', 'tiền', 'xoay', 'vòng', 'lo', 'nhìu', 'mặt khác', 'của', 'xã hội', 'chứ', 'đâu', 'lo', 'cho', 'mỗi', 'bạn', 'vd', 'tiền', 'xây', 'biệt', 'phủ', 'tiền', 'cho', 'con', 'đi', 'du học', '...']","['vòng', 'tiền', 'xoay', 'vòng', 'lo', 'nhiều<space><space>', 'mặt khác', 'của', 'xã hội', 'chứ', 'đâu', 'lo', 'cho', 'mỗi', 'bạn', 'vấn dụ', 'tiền', 'xây', 'biệt', 'phủ', 'tiền', 'cho', 'con', 'đi', 'du học', '...']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
21,"['12:55', 'sau', 'buổi', 'phỏng vấn', 'này', 'tôi', 'sẽ', 'múa', '1', 'bài', 'võ', 'cho', '...', 'chox3', ',', '14', '...', 'dập', 'đĩa', 'dữ', '<unk>', '<unk>', '<unk>']","['12:33', 'sau', 'buổi', 'phỏng vấn', 'này', 'tôi', 'sẽ', 'múa', '1', 'bài', 'võ', 'cho', '...', 'ch<space>3', ',', '13', '...', 'đập<space>', 'đĩa', 'dữ', '<unk>', '<unk>', '<unk>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
22,"['du học sinh', 'úc', 'pewpew']","['du học sinh', 'úc', 'pe<space><space>']","['O', 'O', 'O', 'O', 'O']"
23,"['nói', 'cái', 'gì', 'vậy mà', 'cứ', 'nghe', 'đụ', 'má', 'đụ', 'cha', 'vs', 'vàng']","['nói', 'cái', 'gì', 'vậy mà', 'cứ', 'nghe', 'đụ', 'má', 'đụ', 'cha', 'với', 'vàng']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'O']"
24,"['có', 'ai', 'thấy', 'khá', 'giống', 'đầu', 'của', '@username', 'ko', 'nhỉ', '?']","['có', 'ai', 'thấy', 'khá', 'giống', 'đầu', 'của', '@username', 'không', 'nhỉ', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
25,"['@username', 'sao', 'ko', 'lấy', 'số', 'người', 'chết', 'của', 'ý', 'ra', 'nhỉ', '.']","['@username', 'sao', 'không', 'lấy', 'số', 'người', 'chết', 'của', 'ý', 'ra', 'nhỉ', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
25,"['ý', 'cũng', 'là', 'châu âu', 'đó', '.']","['ý', 'cũng', 'là', 'châu âu', 'đó', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
25,"['hi sinh', 'người', 'chết', 'vừa', 'làm', 'tăng', 'miễn dịch', 'cộng đồng', 'vừa', 'cho', 'đỡ', 'chật', 'đất', '.']","['hi sinh', 'người', 'chết', 'vừa', 'làm', 'tăng', 'miễn dịch', 'cộng đồng', 'vừa', 'cho', 'đỡ', 'chật', 'đất', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
25,"['cách', 'làm', 'của', 'tây', 'hay', 'thật', 'ta', 'ơi', '<unk>']","['cách', 'làm', 'của', 'tây', 'hay', 'thật', 'ta', 'ơi', '<unk>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
26,"['nhịn', 'nói', 'sẽ', 'bớt', 'ngu', 'chú', 'ạ', '...', 'hi']","['nhịn', 'nói', 'sẽ', 'bớt', 'ngu', 'chú', 'ạ', '...', 'hi']","['O', 'O', 'O', 'O', 'B-T', 'O', 'O']"
27,"['quảng nam', 'lại', 'thêm', '1ca', 'nữa', 'ạ']","['quảng nam', 'lại', 'thêm', '1ca', 'nữa', 'ạ']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
28,"['đúng', 'là', 'con người', 'mày', 'không', 'có', 'ý thức', 'dân', 'việt nam', 'chúng ta', 'không', 'bao giờ', 'con', 'cho', 'cái', '?']","['đúng', 'là', 'con người', 'mày', 'không', 'có', 'ý thức', 'dân', 'việt nam', 'chúng ta', 'không', 'bao giờ', 'còn', 'cho', 'cái', '?']","['O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
29,"['tên', 'bài', 'hát', 'còn', 'trẻ', 'trâu', 'hơn', 'cả', 't', 'nhé', '!', 'cười', 'vl', '<unk>']","['tên', 'bài', 'hát', 'còn', 'trẻ', 'trâu', 'hơn', 'cả', 'tôi', 'nhé', '!', 'cười', 'vl', '<unk>']","['O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O']"
30,"['bá', 'ý', 'khẩu', 'nghiệp', 'nặng', 'lắm', 'nha', ',', 'đầu thai', 'ch', 'hết', 'khẩu', 'nghiệp', 'nx']","['bá', 'ý', 'khẩu', 'nghiệp', 'nặng', 'lắm', 'nha', ',', 'đầu thai', 'chưa', 'hết', 'khẩu', 'nghiệp', 'nữa<space>']","['O', 'O', 'B-T', 'I-T', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'B-T', 'I-T', 'O']"
31,"['@username', 'làm', 'ca sĩ', 'luôn', 'rồi', 'à', '<unk>', '<unk>', '<unk>']","['@username', 'làm', 'ca sĩ', 'luôn', 'rồi', 'à', '<unk>', '<unk>', '<unk>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
32,"['thôi', 'chết', 'mẹ', ',', 'hôm', 'nọ', 'thì', 'con mẹ', 'nấm', 'thối', 'kêu gào', 'ông', 'trum', 'ông', 'vại', 'này nọ', ',', 'giờ', 'lại', 'đến', 'idol', 'trần', 'dần', '.']","['thôi', 'chết', 'mẹ', ',', 'hôm', 'nọ', 'thì', 'con mẹ', 'nấm', 'thối', 'kêu gào', 'ông', 'trù', 'ông', 'vấn<space><space>', 'này nọ', ',', 'giờ', 'lại', 'đến', 'idol', 'trần', 'dần', '.']","['O', 'B-T', 'I-T', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'B-T', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'O']"
32,"['đang', 'tự', 'hỏi', ',', 'không', 'biết', 'con mẹ', 'nấm', 'thối', 'có', 'phải', 'là', 'cộng sản', 'nằm vùng', 'không', '?']","['đang', 'tự', 'hỏi', ',', 'không', 'biết', 'con mẹ', 'nấm', 'thối', 'có', 'phải', 'là', 'cộng sản', 'nằm vùng', 'không', '?']","['O', 'B-T', 'I-T', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'B-T', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T', 'O', 'O']"
33,"['@username', 'bố con', 'thần kinh', ',', 'thở', 'ra', 'cái', 'là', 'thấy', 'mùi', 'rồi']","['@username', 'bố con', 'thần kinh', ',', 'thở', 'ra', 'cái', 'là', 'thấy', 'mùi', 'rồi']","['O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'B-T', 'I-T', 'I-T', 'I-T', 'I-T', 'I-T', 'O']"
34,"['cho', 'nó', 'rít', 'vài', 'bi', 'cần', 'là', 'nó', 'ngoan', 'vl', 'luôn']","['cho', 'nó', 'rít', 'vài', 'bị', 'cần', 'là', 'nó', 'ngoan', 'vl', 'luôn']","['O', 'B-T', 'O', 'O', 'B-T', 'I-T', 'O', 'B-T', 'O', 'B-T', 'O']"
35,"['nghĩ', 'nó', 'chán', '樂']","['nghĩ', 'nó', 'chán', '<space>']","['O', 'O', 'O', 'O', 'O']"
36,"['múa', 'như', 'cái', 'biệt danh', '@username', ':', 'chó', '<unk>']","['múa', 'như', 'cái', 'biệt danh', '@username', ':', 'chó', '<unk>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O']"
37,"['tặng', 'cho', 'những', 'con', 'bò', 'thích', 'làm', 'theo', 'và', 'học tập', 'theo', '...', '<unk> <unk>']","['tặng', 'cho', 'những', 'con', 'bò', 'thích', 'làm', 'theo', 'và', 'học tập', 'theo', '...', '<unk> <unk>']","['O', 'O', 'B-T', 'I-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
38,"['<unk>ö<unk>phong', '@username', '<unk>ö<unk>', '@username', '@username', 'đồng quê', 'ta', 'gọi', 'là', 'gì', '<unk>', '<unk>']","['<unk><space><unk>p<space>', '@username', '<unk><space><unk>', '@username', '@username', 'đồng quê', 'ta', 'gọi', 'là', 'gì', '<unk>', '<unk>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
39,"['ko', 'phải', 'chê', 'gì', 'chứ', 'khả năng', 'win', 'của', 'sbtc', 'quá', 'cao', '.']","['không', 'phải', 'chê', 'gì', 'chứ', 'khả năng', 'win', 'của', 'sbc', 'quá', 'cao', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T']"
39,"['@usernamez', 'clear', 'vs', 'petland', 'toàn', 'những', 'thanh niên', 'chuyên nghiệp', 'try', 'hard', 'vkl', 'sao', 'những', '""', 'ông già', '""', 'bên', 'kia', 'chơi', 'lại', '.']","['@uernamez', 'rõ', 'với', 'petland', 'toàn', 'những', 'thanh niên', 'chuyên nghiệp', 'tri', 'hard', 'vkl', 'sao', 'những', '""', 'ông già', '""', 'bên', 'kia', 'chơi', 'lại', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T']"
39,"['còn', 'thầy', 'lồn', 'thì', 't', 'xin', 'mạng', 'phép', 'bỏ qua', 'ko', 'nói', 'tới', 'coi', 'như', 'sbtc', '4', 'đánh', '6']","['còn', 'thầy', 'lồn', 'thì', 'tôi', 'xin', 'mạng', 'phép', 'bỏ qua', 'không', 'nói', 'tới', 'coi', 'như', 'sbc', '4', 'đánh', '6']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T']"
40,"['@username', 'nghe', 'chưa', 'dc', '15s', 'tắt', 'cmnr', 'nhạc', 'vs', 'nhẽo']","['@username', 'nghe', 'chưa', 'được<space>', '15s', 'tắt', 'con mẹ', 'nhạc', 'với', 'nhẽo']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'B-T', 'I-T', 'I-T']"
41,"['lào', 'giờ', 'gần', 'như', 'là', 'của', 'tàu', 'khựa', 'rồi', 'thằng', 'ad', 'ngu', 'ạ', 'ủng hộ', 'cái', 'mồ', 'tổ cha', 'mày', '.']","['nào<space>', 'giờ', 'gần', 'như', 'là', 'của', 'tàu', 'kh<space>a', 'rồi', 'thằng', 'ad', 'ngu', 'ạ', 'ủng hộ', 'cái', 'mồ', 'tổ cha', 'mày', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'B-T', 'O', 'B-T', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'I-T', 'I-T']"
42,"['ngay', 'bên', 'cạnh', 'còn', 'thấy', 'codon', 'nữa', 'nói', 'gì', 'yêu', 'xaaa', '<unk>']","['ngay', 'bên', 'cạnh', 'còn', 'thấy', 'cô đơn', 'nữa', 'nói', 'gì', 'yêu', 'sao<space><space>', '<unk>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
43,"['được', 'anh', 'ey', '<unk>']","['được', 'anh', 'em<space>', '<unk>']","['O', 'O', 'O', 'O']"
